journal,sentiment_score
Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,0.1789
The Journal of international medical research,0.17905
"Oncology (Williston Park, N.Y.)",0.1796
Circulation research,0.1798
European journal of clinical pharmacology,0.18
FEBS letters,0.18
Surgery,0.1803
Journal of the European Academy of Dermatology and Venereology : JEADV,0.18045
Analytical cellular pathology (Amsterdam),0.1805
RSC advances,0.1809285714285714
Stem cells translational medicine,0.1817
Genome biology,0.1818
"Exploration (Beijing, China)",0.18226666666666666
Zhonghua er bi yan hou tou jing wai ke za zhi = Chinese journal of otorhinolaryngology head and neck surgery,0.1824
The lancet. Diabetes & endocrinology,0.1833
ACS applied bio materials,0.18340555555555554
ArXiv,0.1835
Sheng li xue bao : [Acta physiologica Sinica],0.1836
Microbiological research,0.1837
Cell systems,0.1844
The EPMA journal,0.1849
Experimental and therapeutic medicine,0.1851
Journal of the American Society of Cytopathology,0.1853
"Chemistry (Weinheim an der Bergstrasse, Germany)",0.1857
Tobacco control,0.1858
Analytica chimica acta,0.1859
International journal of urology : official journal of the Japanese Urological Association,0.18606666666666669
Cadernos de saude publica,0.1867
Toxins,0.1873
Kidney360,0.1874
Small science,0.187475
Journal of colloid and interface science,0.1875
Seminars in perinatology,0.1875
Dental clinics of North America,0.18869999999999998
"Genomics, proteomics & bioinformatics",0.1894
Journal of chemical information and modeling,0.19
"Colloids and surfaces. B, Biointerfaces",0.19060909090909092
Hereditas,0.19068333333333332
ImmunoHorizons,0.1907
JCO oncology advances,0.1909
Pediatric hematology and oncology,0.1911
Ophthalmic plastic and reconstructive surgery,0.1912
Biomedical and environmental sciences : BES,0.1925
Arab journal of gastroenterology : the official publication of the Pan-Arab Association of Gastroenterology,0.1926
The Tokai journal of experimental and clinical medicine,0.1927
The breast journal,0.1942
The Journal of pathology,0.19545
"Antibiotics (Basel, Switzerland)",0.1955
Discover nano,0.19605
Molecular pharmaceutics,0.19697619047619047
Clinics in chest medicine,0.1982
Iranian journal of basic medical sciences,0.1983
BJS open,0.2
ACS measurement science au,0.2
Therapeutic delivery,0.2
Fitoterapia,0.2
Helicobacter,0.2013
European journal of pediatrics,0.2022
Database : the journal of biological databases and curation,0.2024
Irish journal of medical science,0.2026
Thyroid : official journal of the American Thyroid Association,0.2028
The Canadian journal of urology,0.2032
Physiological genomics,0.2034
Cell insight,0.2034
"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS",0.2042
Smart medicine,0.205
Current opinion in organ transplantation,0.2053
Advances in cancer research,0.20579999999999998
"Endocrine, metabolic & immune disorders drug targets",0.2059
Clinical Medicine Insights. Oncology,0.20615
Biosensors & bioelectronics,0.20750000000000002
Pediatric transplantation,0.2076
European journal of dermatology : EJD,0.2089
HCA healthcare journal of medicine,0.209
Cell biochemistry and function,0.2102
Microbiology spectrum,0.21033333333333334
Current topics in microbiology and immunology,0.2112
Journal of drug targeting,0.21130000000000002
Biomacromolecules,0.2127
Therapeutic advances in hematology,0.2127
Omics : a journal of integrative biology,0.2129
Frontiers in chemistry,0.2133
Journal of breast cancer,0.2139
Bioinformatics advances,0.21415
Archives of gynecology and obstetrics,0.2144
Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition,0.2159
American journal of nephrology,0.2167
Cell death and differentiation,0.21865
Journal of peptide science : an official publication of the European Peptide Society,0.2189
Acta pharmaceutica Sinica. B,0.2194470588235294
Journal of digestive diseases,0.2195
"Dermatologie (Heidelberg, Germany)",0.2222333333333333
Nature microbiology,0.2229
"Clinical, cosmetic and investigational dermatology",0.2233
Tuberkuloz ve toraks,0.225
Biochemistry. Biokhimiia,0.2261
Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,0.2264
Emerging microbes & infections,0.2267
Cancer chemotherapy and pharmacology,0.2268
Journal of hepato-biliary-pancreatic sciences,0.2292
Drugs in context,0.2294
Nanoscale,0.23041666666666663
"Foods (Basel, Switzerland)",0.2306
The Medical clinics of North America,0.2307
ACS applied nano materials,0.2325
Annual review of pathology,0.234
Journal of medicinal chemistry,0.2353222222222222
Interventional radiology (Higashimatsuyama-shi (Japan),0.2357
"Virologie (Montrouge, France)",0.2364
"Nanomaterials (Basel, Switzerland)",0.2371
ACR open rheumatology,0.2375
Molecular therapy. Methods & clinical development,0.23885
Archives of Iranian medicine,0.2413
Clinica chimica acta; international journal of clinical chemistry,0.2451
Journal of pediatric ophthalmology and strabismus,0.2455
HPB : the official journal of the International Hepato Pancreato Biliary Association,0.24595
Brain and nerve = Shinkei kenkyu no shinpo,0.25
Cell stem cell,0.25
International journal of dermatology,0.2502
Clinical and molecular hepatology,0.254
Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,0.2554
Expert review of gastroenterology & hepatology,0.2596
Macromolecular rapid communications,0.2606
Neural regeneration research,0.2611
International journal of hematology-oncology and stem cell research,0.26145
International journal of rheumatic diseases,0.2621
Kidney international,0.2656
Hepatic oncology,0.2667
Applied microbiology and biotechnology,0.2687
Hepatobiliary & pancreatic diseases international : HBPD INT,0.2694
Journal of biomaterials applications,0.2696
Materials horizons,0.2704
Clinics and research in hepatology and gastroenterology,0.2738
BJC reports,0.2773
IJU case reports,0.278
Acta naturae,0.2781
Transplantation proceedings,0.2795
Molecular imaging and biology,0.2808
Current opinion in pharmacology,0.28095000000000003
Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,0.2818
BioMed research international,0.2833
The Journal of dermatological treatment,0.29200000000000004
Liver transplantation : official publication of the American Association for the Study of Liver Diseases and the International Liver Transplantation Society,0.2961
EMBO reports,0.3
Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme,0.30045
Neurosurgery,0.303
SAGE open medicine,0.3047
Cellular & molecular biology letters,0.3123
Die Ophthalmologie,0.3136
Current cardiology reports,0.3267
Military Medical Research,0.3302
Journal of oral and maxillofacial pathology : JOMFP,0.34
Chem & bio engineering,0.4
Clinical genetics,0.4333
"BioEssays : news and reviews in molecular, cellular and developmental biology",0.4821
"Entropy (Basel, Switzerland)",0.6333
